name,type,description,img_url,trip_duration,avg_vote,tot_person_vote,price
Gjirokastër,Historical Town,"Known as the 'City of Stone,' this UNESCO World Heritage site offers unique Ottoman-era architecture and the Gjirokastër Castle.","https://vrapon.al/wp-content/uploads/2023/04/gjirokastra.jpeg",2-3 days,4.7,450,150
Ksamil,Beach Destination,"Famous for its stunning beaches and crystal-clear waters, Ksamil is ideal for swimming, sunbathing, and island hopping.","https://thetravelmum.com/content/uploads/2023/08/ksamil.webp",3-5 days,4.8,700,200
Shala River,Adventure / Nature,"Often called the 'Albanian Thailand,' Shala River offers breathtaking views, kayaking, and a tranquil escape.","https://pine.al/uploads/images/2024/04/21/6625326a575cd-Untitled%20design%20(39).jpg",1-2 days,4.9,300,100
Theth National Park,Adventure / Hiking,"Known for its beautiful landscapes and hiking trails, Theth is perfect for nature lovers and adventure seekers.","https://upload.wikimedia.org/wikipedia/commons/8/87/Theth_Church_Albania.jpg",2-3 days,4.6,500,180
Llogara Pass,Scenic Viewpoint,"A mountain pass that offers spectacular views of the Albanian Riviera, perfect for road trips and photography.","https://albaniatouristplaces.com/wp-content/uploads/2023/02/llogara.jpg",1 day,4.5,350,50
Berat,Historical Town,"Known as the 'City of a Thousand Windows,' Berat is a UNESCO site with a rich cultural heritage and Ottoman-style architecture.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQItnbHXQJv9iMsQTM08T4lGg0QTGrs9EQL9w&s",2 days,4.8,620,120
Valbona Valley,Adventure / Hiking,"Known for its stunning mountainous terrain, Valbona Valley is ideal for hiking and enjoying breathtaking natural views.","https://sq.albanianews.it/wp-content/uploads/sites/2/2012/01/Alpi-Valbona.jpg",3-4 days,4.9,400,200
Blue Eye (Syri i Kaltër),Nature Spot,"A natural spring with incredibly blue waters, perfect for sightseeing and photography.","https://akzm.gov.al/wp-content/uploads/2022/09/foto-1645440663648.jpg",1 day,4.8,550,25
Apollonia Archaeological Park,Historical Site,"An ancient Greek city, Apollonia offers ruins of temples, statues, and breathtaking landscapes.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUMLrn21eFpYEDPKPPnBrHiikrw7vlTtrJOg&s",1 day,4.4,300,30
Dhermi Beach,Beach Destination,"Known for its turquoise waters and vibrant nightlife, Dhermi is popular for beach lovers and young travelers.","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/b4/16/36/dermi-beach.jpg?w=700&h=-1&s=1",3-5 days,4.7,650,250
